PathXDx FFPE Archive — availability by organ and diagnostic category,,,,,,,,
Case ranges. '<5' indicates limited material — please enquire.,,,,,,,,
,,,,,,,,
Organ / tissue,Normal / control,Benign,Pre-malignant,Malignant,Total cases,of which inflammatory / infectious,Age at collection,Sex split
Skin,"2,500-5,000","10,000+",100-250,"10,000+","10,000+",250-500,13-90+ (median 80),48% F / 52% M
Colon,"5,000-10,000","5,000-10,000","10,000+",250-500,"10,000+","5,000-10,000",13-90+ (median 73),48% F / 52% M
Gastric,"2,500-5,000","2,500-5,000",5-25,25-100,"5,000-10,000","2,500-5,000",27-90+ (median 73),62% F / 38% M
Prostate,"5,000-10,000",25-100,-,"1,000-2,500","5,000-10,000",25-100,49-90+ (median 79),1% F / 99% M
Endocervix,"5,000-10,000",25-100,25-100,5-25,"5,000-10,000",25-100,12-90+ (median 43),100% F / 0% M
Small Intestine,"2,500-5,000",250-500,5-25,5-25,"5,000-10,000","2,500-5,000",29-90+ (median 67),63% F / 37% M
Esophagus,"2,500-5,000","1,000-2,500",5-25,25-100,"2,500-5,000","1,000-2,500",29-90+ (median 71),58% F / 42% M
Cervix/Endocervix,"2,500-5,000",100-250,5-25,5-25,"2,500-5,000",<5,27-90+ (median 41),100% F / 0% M
Cervix,"1,000-2,500","500-1,000",100-250,25-100,"2,500-5,000",100-250,29-90+ (median 49),100% F / 0% M
Breast,"500-1,000","500-1,000",250-500,"500-1,000","1,000-2,500",5-25,27-90+ (median 62),96% F / 4% M
Endometrium,"1,000-2,500",100-250,<5,100-250,"1,000-2,500",25-100,33-90+ (median 62),100% F / 0% M
Soft Tissue,"500-1,000","500-1,000",5-25,25-100,"1,000-2,500",25-100,13-90+ (median 64),54% F / 46% M
Gallbladder,25-100,"1,000-2,500",<5,<5,"1,000-2,500","1,000-2,500",25-90+ (median 59),75% F / 25% M
Rectum,250-500,"500-1,000",250-500,25-100,"1,000-2,500",100-250,33-90+ (median 75),46% F / 54% M
Bladder,100-250,100-250,-,250-500,"500-1,000",100-250,26-90+ (median 84),31% F / 69% M
Cecum,100-250,100-250,250-500,5-25,"500-1,000",25-100,32-90+ (median 79),46% F / 54% M
Lymph Node,100-250,25-100,<5,100-250,250-500,<5,16-90+ (median 74),57% F / 43% M
Bronchus,100-250,25-100,-,100-250,250-500,5-25,33-90+ (median 78),50% F / 50% M
Lung,100-250,25-100,<5,100-250,250-500,<5,34-90+ (median 82),55% F / 45% M
Tonsil,250-500,5-25,-,5-25,250-500,<5,14-90+ (median 35),65% F / 35% M
Kidney,5-25,25-100,25-100,25-100,250-500,25-100,28-90+ (median 70),51% F / 49% M
Thyroid,100-250,5-25,5-25,5-25,250-500,5-25,22-90+ (median 68),85% F / 15% M
Hernia,100-250,25-100,-,-,100-250,<5,13-90+ (median 68),33% F / 67% M
Liver,25-100,100-250,-,25-100,100-250,25-100,43-90+ (median 70),45% F / 55% M
Nasal Tissue,25-100,100-250,-,5-25,100-250,5-25,17-90+ (median 62),29% F / 71% M
Uterus,100-250,5-25,<5,<5,100-250,5-25,39-90+ (median 59),Female
Vagina,25-100,5-25,<5,5-25,100-250,<5,30-90+ (median 66),99% F / 1% M
Bone,25-100,25-100,-,5-25,100-250,5-25,25-90+ (median 65),57% F / 43% M
Ovary,25-100,5-25,5-25,5-25,100-250,<5,26-90+ (median 51),Female
Oral,25-100,25-100,<5,5-25,100-250,<5,14-90+ (median 66),50% F / 50% M
Anus,25-100,5-25,<5,5-25,100-250,<5,38-90+ (median 66),56% F / 44% M
Cyst,25-100,25-100,<5,-,25-100,<5,14-90+ (median 61),57% F / 43% M
Muscle,25-100,<5,-,-,25-100,<5,12-90+ (median 54),39% F / 61% M
Appendix,25-100,25-100,<5,<5,25-100,25-100,16-90+ (median 61),60% F / 40% M
Sinus,5-25,25-100,-,5-25,25-100,5-25,30-90+ (median 59),42% F / 58% M
Fallopian Tube,25-100,<5,-,-,25-100,<5,32-90+ (median 48),Female
Tongue,25-100,5-25,-,5-25,25-100,<5,21-90+ (median 69),55% F / 45% M
